state,specialty,facility_count,total_facilities_state,coverage_ratio,desert_severity,action
Maharashtra,emergency_trauma,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified emergency_trauma facilities out of 9 total.
Maharashtra,neonatal_icu,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified neonatal_icu facilities out of 9 total.
Maharashtra,dialysis,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified dialysis facilities out of 9 total.
Maharashtra,oncology,0,9,0.0,95,CRITICAL: Maharashtra has only 0 verified oncology facilities out of 9 total.
Madhya Pradesh,obstetrics,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified obstetrics facilities out of 2 total.
Madhya Pradesh,mental_health,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified mental_health facilities out of 2 total.
Madhya Pradesh,emergency_trauma,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified emergency_trauma facilities out of 2 total.
Madhya Pradesh,neonatal_icu,0,2,0.0,95,CRITICAL: Madhya Pradesh has only 0 verified neonatal_icu facilities out of 2 total.
Uttarakhand,mental_health,0,1,0.0,95,CRITICAL: Uttarakhand has only 0 verified mental_health facilities out of 1 total.
West Bengal,emergency_trauma,0,3,0.0,95,CRITICAL: West Bengal has only 0 verified emergency_trauma facilities out of 3 total.
Telangana,mental_health,0,4,0.0,95,CRITICAL: Telangana has only 0 verified mental_health facilities out of 4 total.
Thane,mental_health,0,1,0.0,95,CRITICAL: Thane has only 0 verified mental_health facilities out of 1 total.
Thane,emergency_trauma,0,1,0.0,95,CRITICAL: Thane has only 0 verified emergency_trauma facilities out of 1 total.
Thane,neonatal_icu,0,1,0.0,95,CRITICAL: Thane has only 0 verified neonatal_icu facilities out of 1 total.
Thane,dialysis,0,1,0.0,95,CRITICAL: Thane has only 0 verified dialysis facilities out of 1 total.
Thane,oncology,0,1,0.0,95,CRITICAL: Thane has only 0 verified oncology facilities out of 1 total.
Thane,obstetrics,0,1,0.0,95,CRITICAL: Thane has only 0 verified obstetrics facilities out of 1 total.
Uttarakhand,obstetrics,0,1,0.0,95,CRITICAL: Uttarakhand has only 0 verified obstetrics facilities out of 1 total.
West Bengal,oncology,0,3,0.0,95,CRITICAL: West Bengal has only 0 verified oncology facilities out of 3 total.
Uttarakhand,emergency_trauma,0,1,0.0,95,CRITICAL: Uttarakhand has only 0 verified emergency_trauma facilities out of 1 total.
Uttarakhand,oncology,0,1,0.0,95,CRITICAL: Uttarakhand has only 0 verified oncology facilities out of 1 total.
Uttarakhand,dialysis,0,1,0.0,95,CRITICAL: Uttarakhand has only 0 verified dialysis facilities out of 1 total.
Odisha,mental_health,0,1,0.0,95,CRITICAL: Odisha has only 0 verified mental_health facilities out of 1 total.
Odisha,obstetrics,0,1,0.0,95,CRITICAL: Odisha has only 0 verified obstetrics facilities out of 1 total.
Punjab,oncology,0,2,0.0,95,CRITICAL: Punjab has only 0 verified oncology facilities out of 2 total.
Punjab,dialysis,0,2,0.0,95,CRITICAL: Punjab has only 0 verified dialysis facilities out of 2 total.
Punjab,neonatal_icu,0,2,0.0,95,CRITICAL: Punjab has only 0 verified neonatal_icu facilities out of 2 total.
Punjab,emergency_trauma,0,2,0.0,95,CRITICAL: Punjab has only 0 verified emergency_trauma facilities out of 2 total.
Punjab,mental_health,0,2,0.0,95,CRITICAL: Punjab has only 0 verified mental_health facilities out of 2 total.
Punjab,obstetrics,0,2,0.0,95,CRITICAL: Punjab has only 0 verified obstetrics facilities out of 2 total.
Rajasthan,oncology,0,1,0.0,95,CRITICAL: Rajasthan has only 0 verified oncology facilities out of 1 total.
Rajasthan,dialysis,0,1,0.0,95,CRITICAL: Rajasthan has only 0 verified dialysis facilities out of 1 total.
Rajasthan,neonatal_icu,0,1,0.0,95,CRITICAL: Rajasthan has only 0 verified neonatal_icu facilities out of 1 total.
Rajasthan,emergency_trauma,0,1,0.0,95,CRITICAL: Rajasthan has only 0 verified emergency_trauma facilities out of 1 total.
Rajasthan,mental_health,0,1,0.0,95,CRITICAL: Rajasthan has only 0 verified mental_health facilities out of 1 total.
Rajasthan,obstetrics,0,1,0.0,95,CRITICAL: Rajasthan has only 0 verified obstetrics facilities out of 1 total.
Tamil Nadu,oncology,0,15,0.0,95,CRITICAL: Tamil Nadu has only 0 verified oncology facilities out of 15 total.
Tamil Nadu,dialysis,0,15,0.0,95,CRITICAL: Tamil Nadu has only 0 verified dialysis facilities out of 15 total.
Tamil Nadu,neonatal_icu,0,15,0.0,95,CRITICAL: Tamil Nadu has only 0 verified neonatal_icu facilities out of 15 total.
Telangana,oncology,0,4,0.0,95,CRITICAL: Telangana has only 0 verified oncology facilities out of 4 total.
Uttarakhand,neonatal_icu,0,1,0.0,95,CRITICAL: Uttarakhand has only 0 verified neonatal_icu facilities out of 1 total.
Uttar Pradesh,neonatal_icu,0,16,0.0,95,CRITICAL: Uttar Pradesh has only 0 verified neonatal_icu facilities out of 16 total.
West Bengal,mental_health,0,3,0.0,95,CRITICAL: West Bengal has only 0 verified mental_health facilities out of 3 total.
West Bengal,dialysis,0,3,0.0,95,CRITICAL: West Bengal has only 0 verified dialysis facilities out of 3 total.
Bihar,emergency_trauma,1,4,0.25,20,Bihar has only 1 verified emergency_trauma facilities out of 4 total.
Andhra Pradesh,obstetrics,1,3,0.3333,20,Andhra Pradesh has only 1 verified obstetrics facilities out of 3 total.
Kerala,oncology,1,5,0.2,20,Kerala has only 1 verified oncology facilities out of 5 total.
Jharkhand,emergency_trauma,1,3,0.3333,20,Jharkhand has only 1 verified emergency_trauma facilities out of 3 total.
Delhi,emergency_trauma,2,7,0.2857,20,Delhi has only 2 verified emergency_trauma facilities out of 7 total.
Haryana,oncology,2,6,0.3333,20,Haryana has only 2 verified oncology facilities out of 6 total.
Gujarat,oncology,1,10,0.1,20,Gujarat has only 1 verified oncology facilities out of 10 total.
Delhi,obstetrics,2,7,0.2857,20,Delhi has only 2 verified obstetrics facilities out of 7 total.
Haryana,emergency_trauma,2,6,0.3333,20,Haryana has only 2 verified emergency_trauma facilities out of 6 total.
Gujarat,emergency_trauma,2,10,0.2,20,Gujarat has only 2 verified emergency_trauma facilities out of 10 total.
Jammu & Kashmir,emergency_trauma,1,1,1.0,20,Jammu & Kashmir has only 1 verified emergency_trauma facilities out of 1 total.
Haryana,mental_health,1,6,0.1667,20,Haryana has only 1 verified mental_health facilities out of 6 total.
Kochi,emergency_trauma,1,1,1.0,20,Kochi has only 1 verified emergency_trauma facilities out of 1 total.
Kerala,emergency_trauma,1,5,0.2,20,Kerala has only 1 verified emergency_trauma facilities out of 5 total.
Kerala,mental_health,1,5,0.2,20,Kerala has only 1 verified mental_health facilities out of 5 total.
Kerala,obstetrics,1,5,0.2,20,Kerala has only 1 verified obstetrics facilities out of 5 total.
Tamil Nadu,emergency_trauma,4,15,0.2667,20,Tamil Nadu has only 4 verified emergency_trauma facilities out of 15 total.
Telangana,dialysis,1,4,0.25,20,Telangana has only 1 verified dialysis facilities out of 4 total.
Telangana,obstetrics,1,4,0.25,20,Telangana has only 1 verified obstetrics facilities out of 4 total.
Tamil Nadu,obstetrics,1,15,0.0667,20,Tamil Nadu has only 1 verified obstetrics facilities out of 15 total.
Uttar Pradesh,dialysis,2,16,0.125,20,Uttar Pradesh has only 2 verified dialysis facilities out of 16 total.
Uttar Pradesh,oncology,1,16,0.0625,20,Uttar Pradesh has only 1 verified oncology facilities out of 16 total.
Telangana,emergency_trauma,1,4,0.25,20,Telangana has only 1 verified emergency_trauma facilities out of 4 total.
Tamil Nadu,mental_health,1,15,0.0667,20,Tamil Nadu has only 1 verified mental_health facilities out of 15 total.
Uttar Pradesh,mental_health,1,16,0.0625,20,Uttar Pradesh has only 1 verified mental_health facilities out of 16 total.
Uttar Pradesh,emergency_trauma,2,16,0.125,20,Uttar Pradesh has only 2 verified emergency_trauma facilities out of 16 total.
Uttar Pradesh,obstetrics,3,16,0.1875,20,Uttar Pradesh has only 3 verified obstetrics facilities out of 16 total.
West Bengal,obstetrics,1,3,0.3333,20,West Bengal has only 1 verified obstetrics facilities out of 3 total.
